name,rank,cost,size,rate
Texas Tech University,161,19562,32467,64.3
University of Idaho,161,19600,12420,65.7
University of La Verne,161,35000,4973,39
University of Louisville,161,23638,21242,76.3
University of Wyoming,161,14124,12903,95.7
Florida Institute of Technology,167,36020,5384,59.1
University of Maine,167,27454,10901,81.1
Virginia Commonwealth University,167,28861,31752,60.2
University of Central Florida,170,22415,59767,46.2
University of South Florida,170,17325,40111,43.2
West Virginia University,170,19632,29707,85.1
Azusa Pacific University,173,32256,10184,52.3
Pace University,173,38069,12772,76.8
St. Mary's University of Minnesota,173,29315,5574,79
University of North Dakota,173,17170,15250,73.7
Biola University,177,32142,6302,74.7
Indiana University of Pennsylvania,177,19014,15379,61
Northern Illinois University,177,22024,21869,51.8
Southern Illinois University-Carbondale,177,24970,18847,51.4
Andrews University,181,25470,3551,37.5
Ball State University,181,23660,21053,61.2
Bowling Green State University,181,18029,17286,73.6
East Carolina University,181,19683,26947,62.2
University of Alabama-Huntsville,181,21506,7636,77.7
University of Nevada-Reno,181,20064,18227,83
University of New Mexico,181,11568,29033,64.6
Western Michigan University,181,24109,24598,83.3
Widener University,181,38028,6238,65.5
Central Michigan University,190,23670,27626,63.8
Edgewood College,190,24666,3064,73.2
Immaculata University,190,30740,4117,79.6
Louisiana Tech University,190,18483,11304,70.8
New Mexico State University,190,19644,17651,80.1
North Dakota State University,190,17478,14443,83.6
University of Colorado-Denver,190,21006,22396,75.9
University of Houston,190,20892,40747,56.2
University of North Carolina-Greensboro,190,20186,18172,60
University of South Dakota,190,10104,10284,88.6
Utah State University,190,17886,28786,96.7
