,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,gridId
301801,I162026298,542,Commercial Burglary,BURGLARY - COMMERICAL - NO FORCE,B2,586,,2016-04-05 11:37:00,2016,4,Tuesday,11,Part One,TERRACE ST,42.32911928,-71.09782102,"(42.32911928, -71.09782102)",5035.0
301827,I162026271,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E5,725,,2016-04-05 11:10:00,2016,4,Tuesday,11,Part One,GARDNER ST,42.2775154,-71.17158470000001,"(42.27751540, -71.17158470)",2408.0
301831,I162026268,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,347,,2016-04-05 09:20:00,2016,4,Tuesday,9,Part One,LYON ST,42.30638323,-71.06021218,"(42.30638323, -71.06021218)",3949.0
301958,I162026138,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A1,119,,2016-04-04 18:25:00,2016,4,Monday,18,Part One,TREMONT ST,42.35624888,-71.06227065,"(42.35624888, -71.06227065)",6448.0
301999,I162026091,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,366,,2016-04-04 16:42:00,2016,4,Monday,16,Part One,LONSDALE ST,42.29037676,-71.06139736,"(42.29037676, -71.06139736)",3149.0
302006,I162026085,542,Commercial Burglary,BURGLARY - COMMERICAL - NO FORCE,B2,586,,2016-04-04 15:25:00,2016,4,Monday,15,Part One,TERRACE ST,42.32911928,-71.09782102,"(42.32911928, -71.09782102)",5035.0
302045,I162026037,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,361,,2016-04-04 09:00:00,2016,4,Monday,9,Part One,MATHER ST,42.2946264,-71.06223997,"(42.29462640, -71.06223997)",3348.0
302142,I162025926,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,259,,2016-04-03 23:24:00,2016,4,Sunday,23,Part One,ALEXANDER ST,42.31458709,-71.07078303,"(42.31458709, -71.07078303)",4345.0
302163,I162025904,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E13,307,,2016-04-03 21:24:00,2016,4,Sunday,21,Part One,WESTMINSTER AVE,42.31609763,-71.09524853,"(42.31609763, -71.09524853)",4436.0
302173,I162025893,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,765,,2016-04-03 20:29:00,2016,4,Sunday,20,Part One,FALKLAND ST,42.35442573,-71.15822281,"(42.35442573, -71.15822281)",6313.0
302199,I162025864,560,Other Burglary,BURGLARY - OTHER - FORCE,B3,418,,2016-04-01 22:00:00,2016,4,Friday,22,Part One,SELDEN ST,42.28089366,-71.08037468,"(42.28089366, -71.08037468)",2642.0
302222,I162025845,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,B2,320,,2016-04-03 14:00:00,2016,4,Sunday,14,Part One,ELM HILL AVE,42.31088458,-71.08643029,"(42.31088458, -71.08643029)",4139.0
302320,I162025730,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,C11,370,,2016-04-03 05:41:00,2016,4,Sunday,5,Part One,WILLIAM T MORRISSEY BLVD,42.29767279,-71.04941018,"(42.29767279, -71.04941018)",3453.0
302341,I162025707,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,360,,2016-04-03 02:29:00,2016,4,Sunday,2,Part One,PARK ST,42.29753608,-71.0644598,"(42.29753608, -71.06445980)",3448.0
302398,I162025635,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,393,,2016-04-02 15:22:00,2016,4,Saturday,15,Part One,DRACUT ST,42.28741838,-71.0619078,"(42.28741838, -71.06190780)",2948.0
302403,I162025630,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,156,,2016-03-24 19:30:00,2016,3,Thursday,19,Part One,W CONCORD ST,42.33961962,-71.07699237,"(42.33961962, -71.07699237)",5643.0
302458,I162025568,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,320,,2016-04-02 16:00:00,2016,4,Saturday,16,Part One,CHARLOTTE ST,42.29944216,-71.08489748,"(42.29944216, -71.08489748)",3540.0
302501,I162025528,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B3,429,,2016-04-02 13:12:00,2016,4,Saturday,13,Part One,MARDEN AVE,42.28479807,-71.08685632,"(42.28479807, -71.08685632)",2839.0
