,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,gridId
281,I192028839,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E18,525,,2019-04-19 15:29:00,2019,4,Friday,15,Part One,NEPONSET VALLEY PKWY,42.23687951,-71.13068805,"(42.23687951, -71.13068805)",423.0
351,I192028757,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,355,,2019-04-19 11:23:00,2019,4,Friday,11,Part One,ADAMS ST,42.29760605,-71.05676442,"(42.29760605, -71.05676442)",3450.0
509,I192028584,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,786,,2019-04-18 15:49:00,2019,4,Thursday,15,Part One,EGREMONT RD,42.34115127,-71.14343417,"(42.34115127, -71.14343417)",5618.0
559,I192028525,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,586,,2019-04-18 03:00:00,2019,4,Thursday,3,Part One,HILLSIDE ST,42.33013124,-71.10138008,"(42.33013124, -71.10138008)",5134.0
589,I192028489,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E13,303,,2019-04-18 03:48:00,2019,4,Thursday,3,Part One,BRAGDON ST,42.31925844,-71.10003222,"(42.31925844, -71.10003222)",4534.0
596,I192028481,541,Commercial Burglary,BURGLARY - COMMERICAL - ATTEMPT,E18,503,,2019-04-18 10:15:00,2019,4,Thursday,10,Part One,AMERICAN LEGION HWY,42.28314714,-71.11374152,"(42.28314714, -71.11374152)",2729.0
791,I192028260,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,300,,2019-04-17 11:26:00,2019,4,Wednesday,11,Part One,HIGHLAND ST,42.32599863,-71.09318420000001,"(42.32599863, -71.09318420)",4937.0
799,I192028255,542,Commercial Burglary,BURGLARY - COMMERICAL - NO FORCE,B2,329,,2019-04-17 10:18:00,2019,4,Wednesday,10,Part One,BLUE HILL AVE,42.30938437,-71.08262277,"(42.30938437, -71.08262277)",4041.0
817,I192028236,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,470,,2019-04-17 09:57:00,2019,4,Wednesday,9,Part One,ORLANDO ST,42.27544327,-71.09817294,"(42.27544327, -71.09817294)",2335.0
908,I192028139,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,128,,2019-04-16 13:00:00,2019,4,Tuesday,13,Part One,CLARENDON ST,42.34854636,-71.07416609,"(42.34854636, -71.07416609)",6044.0
920,I192028127,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,803,,2019-04-16 18:17:00,2019,4,Tuesday,18,Part One,EVERETT ST,42.35595088,-71.13830108,"(42.35595088, -71.13830108)",6420.0
988,I192028044,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,461,,2019-04-12 12:00:00,2019,4,Friday,12,Part One,ROSSETER ST,42.30417845,-71.07600129,"(42.30417845, -71.07600129)",3843.0
995,I192028035,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C6,214,,2019-04-09 12:00:00,2019,4,Tuesday,12,Part One,SILVER ST,42.33694485,-71.04895757,"(42.33694485, -71.04895757)",5453.0
1126,I192027889,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,B2,265,,2019-04-15 10:00:00,2019,4,Monday,10,Part One,CLIFFORD ST,42.31985444,-71.07972518,"(42.31985444, -71.07972518)",4642.0
1151,I192027866,560,Other Burglary,BURGLARY - OTHER - FORCE,B2,311,,2019-04-15 15:20:00,2019,4,Monday,15,Part One,BLUE HILL AVE,42.31757794,-71.07794982,"(42.31757794, -71.07794982)",4443.0
1283,I192027707,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,C11,376,,2019-04-15 02:26:51,2019,4,Monday,2,Part One,BERRY ST,42.28737505,-71.04221006,"(42.28737505, -71.04221006)",2956.0
1297,I192027685,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A7,2,,2019-04-14 22:29:00,2019,4,Sunday,22,Part One,FAYWOOD AVE,42.39112008,-71.00229699,"(42.39112008, -71.00229699)",8171.0
1336,I192027642,542,Commercial Burglary,BURGLARY - COMMERICAL - NO FORCE,D4,133,,2019-04-13 21:00:00,2019,4,Saturday,21,Part One,NEWBURY ST,42.35118005,-71.07666607,"(42.35118005, -71.07666607)",6143.0
1338,I192027639,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E5,724,,2019-04-14 18:36:00,2019,4,Sunday,18,Part One,VFW PKWY,42.26932098,-71.17204938,"(42.26932098, -71.17204938)",2008.0
1493,I192027466,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A7,23,,2019-04-13 17:00:00,2019,4,Saturday,17,Part One,PRINCETON ST,42.37679597,-71.03789722,"(42.37679597, -71.03789722)",7457.0
1526,I192027430,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,181,,2019-04-13 21:42:00,2019,4,Saturday,21,Part One,DUDLEY ST,42.32435506,-71.07440305,"(42.32435506, -71.07440305)",4844.0
1738,I192027195,542,Commercial Burglary,BURGLARY - COMMERICAL - NO FORCE,A1,66,,2019-04-13 02:45:00,2019,4,Saturday,2,Part One,CHARLES ST,42.36033536,-71.07081975,"(42.36033536, -71.07081975)",6645.0
1744,I192027187,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,B2,265,,2019-04-13 01:49:00,2019,4,Saturday,1,Part One,BLUE HILL AVE,42.31956879,-71.07776264,"(42.31956879, -71.07776264)",4543.0
1856,I192027072,542,Commercial Burglary,BURGLARY - COMMERICAL - NO FORCE,D4,138,,2019-04-12 01:37:00,2019,4,Friday,1,Part One,NEWBURY ST,42.3494205,-71.083158,"(42.34942050, -71.08315800)",6041.0
2020,I192026880,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,272,,2019-04-11 21:20:00,2019,4,Thursday,21,Part One,WASHINGTON ST,42.334831099999995,-71.07904134,"(42.33483110, -71.07904134)",5342.0
2040,I192026856,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,337,,2019-04-11 18:45:00,2019,4,Thursday,18,Part One,COLUMBIA RD,42.30782356,-71.07552211,"(42.30782356, -71.07552211)",4043.0
2258,I192026624,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,B2,329,,2019-04-10 18:00:00,2019,4,Wednesday,18,Part One,WASHINGTON ST,42.30775024,-71.08273084,"(42.30775024, -71.08273084)",4041.0
2295,I192026587,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,158,,2019-04-11 01:32:00,2019,4,Thursday,1,Part One,SHAWMUT AVE,42.34107714,-71.0723957,"(42.34107714, -71.07239570)",5645.0
2298,I192026583,541,Commercial Burglary,BURGLARY - COMMERICAL - ATTEMPT,C6,175,,2019-04-11 00:50:00,2019,4,Thursday,0,Part One,SOUTHAMPTON ST,42.33210843,-71.07014395,"(42.33210843, -71.07014395)",5245.0
2333,I192026548,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E13,912,,2019-04-10 20:18:00,2019,4,Wednesday,20,Part One,PARKER ST,42.32469443,-71.10087902,"(42.32469443, -71.10087902)",4834.0
2403,I192026483,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,911,,2019-04-10 08:15:00,2019,4,Wednesday,8,Part One,ANNUNCIATION RD,42.33506218,-71.09316781,"(42.33506218, -71.09316781)",5337.0
2572,I192026308,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,273,,2019-04-10 03:00:00,2019,4,Wednesday,3,Part One,NORTHAMPTON ST,42.33856624,-71.0807442,"(42.33856624, -71.08074420)",5542.0
2578,I192026302,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,A1,110,,2019-04-10 01:40:00,2019,4,Wednesday,1,Part One,PEARL ST,42.35488211,-71.05369166,"(42.35488211, -71.05369166)",6352.0
2591,I192026290,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,B3,427,,2019-04-09 23:13:00,2019,4,Tuesday,23,Part One,BLUE HILL AVE,42.2777688,-71.09334841,"(42.27776880, -71.09334841)",2437.0
2593,I192026287,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,162,,2019-04-09 12:00:00,2019,4,Tuesday,12,Part One,HARRISON AVE,42.34496729,-71.06382224,"(42.34496729, -71.06382224)",5848.0
2689,I192026182,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E5,689,,2019-04-09 10:10:00,2019,4,Tuesday,10,Part One,WELD ST,42.29285337,-71.15171626,"(42.29285337, -71.15171626)",3215.0
2777,I192026090,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B3,431,,2019-04-07 10:00:00,2019,4,Sunday,10,Part One,ASHTON ST,42.28733485,-71.08926812,"(42.28733485, -71.08926812)",2938.0
2903,I192025946,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,330,,2019-04-08 18:26:00,2019,4,Monday,18,Part One,SEAVER ST,42.30455372,-71.08295366,"(42.30455372, -71.08295366)",3841.0
2933,I192025918,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,A1,954,,2019-04-08 16:43:00,2019,4,Monday,16,Part One,FULTON ST,42.36293611,-71.05253795,"(42.36293611, -71.05253795)",6752.0
2977,I192025870,542,Commercial Burglary,BURGLARY - COMMERICAL - NO FORCE,C6,212,,2019-04-08 14:18:00,2019,4,Monday,14,Part One,W FIRST ST,42.33920936,-71.04629384,"(42.33920936, -71.04629384)",5554.0
2980,I192025864,562,Other Burglary,BURGLARY - OTHER - NO FORCE,E13,575,,2019-01-15 15:00:00,2019,1,Tuesday,15,Part One,WASHINGTON ST,42.31330008,-71.10075998,"(42.31330008, -71.10075998)",4234.0
2995,I192025850,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B3,427,,2019-04-08 10:47:00,2019,4,Monday,10,Part One,NORFOLK ST,42.276683899999995,-71.09240248,"(42.27668390, -71.09240248)",2437.0
3005,I192025834,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,146,,2019-04-08 12:25:00,2019,4,Monday,12,Part One,GARRISON ST,42.34601794,-71.07976037,"(42.34601794, -71.07976037)",5942.0
3006,I192025833,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,149,,2019-04-08 12:08:00,2019,4,Monday,12,Part One,BRADDOCK PARK,42.34436542,-71.07870338,"(42.34436542, -71.07870338)",5842.0
3050,I192025783,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,170,,2019-04-08 10:17:00,2019,4,Monday,10,Part One,E SPRINGFIELD ST,42.3360292,-71.07517847,"(42.33602920, -71.07517847)",5444.0
3145,I192025676,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,146,,2019-04-07 19:03:00,2019,4,Sunday,19,Part One,SAINT BOTOLPH ST,42.34617476,-71.07925920000001,"(42.34617476, -71.07925920)",5942.0
3283,I192025528,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,D14,804,,2019-04-07 05:55:00,2019,4,Sunday,5,Part One,N BEACON ST,42.35458999,-71.14294359,"(42.35458999, -71.14294359)",6318.0
3293,I192025520,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,356,,2019-04-07 04:10:00,2019,4,Sunday,4,Part One,CHARLES ST,42.29990887,-71.06424768,"(42.29990887, -71.06424768)",3648.0
3324,I192025489,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,E18,525,,2019-04-07 00:22:00,2019,4,Sunday,0,Part One,NEPONSET VALLEY PKWY,42.23687951,-71.13068805,"(42.23687951, -71.13068805)",423.0
3367,I192025446,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C6,197,,2019-04-06 14:00:00,2019,4,Saturday,14,Part One,D ST,42.33573052,-71.05448907,"(42.33573052, -71.05448907)",5451.0
4040,I192024735,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E13,508,,2019-03-21 16:00:00,2019,3,Thursday,16,Part One,SOUTHBOURNE RD,42.28981486,-71.11767828,"(42.28981486, -71.11767828)",3128.0
4067,I192024708,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,D14,750,,2019-04-02 08:17:00,2019,4,Tuesday,8,Part One,LANE PARK,42.34273556,-71.16026894,"(42.34273556, -71.16026894)",5712.0
4175,I192024601,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,A7,23,,2019-04-03 13:00:00,2019,4,Wednesday,13,Part One,BROOKS ST,42.37836482,-71.03473583,"(42.37836482, -71.03473583)",7559.0
4276,I192024505,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,170,,2019-04-03 12:45:00,2019,4,Wednesday,12,Part One,E CONCORD ST,42.33753031,-71.07448985,"(42.33753031, -71.07448985)",5444.0
4432,I192024342,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,236,,2019-04-02 09:15:00,2019,4,Tuesday,9,Part One,COLUMBIA RD,42.32030801,-71.05765038,"(42.32030801, -71.05765038)",4650.0
4451,I192024324,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,E13,510,,2019-04-02 17:32:00,2019,4,Tuesday,17,Part One,TOWER ST,42.29906325,-71.11183411,"(42.29906325, -71.11183411)",3530.0
4567,I192024195,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,260,,2019-04-02 07:47:00,2019,4,Tuesday,7,Part One,MAGNOLIA ST,42.31768237,-71.07027631,"(42.31768237, -71.07027631)",4545.0
4598,I192024158,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,D14,939,,2019-04-02 06:40:00,2019,4,Tuesday,6,Part One,FANEUIL ST,42.35555336,-71.15274721,"(42.35555336, -71.15274721)",6415.0
4606,I192024151,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,619,,2019-04-02 02:36:00,2019,4,Tuesday,2,Part One,SYMPHONY RD,42.34295335,-71.08833139,"(42.34295335, -71.08833139)",5739.0
4627,I192024126,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C6,193,,2019-04-01 19:24:00,2019,4,Monday,19,Part One,DORCHESTER ST,42.330253000000006,-71.05559939,"(42.33025300, -71.05559939)",5151.0
4752,I192023981,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A1,116,,2019-03-19 00:00:00,2019,3,Tuesday,0,Part One,HARRISON AVE,42.35171679,-71.06118419,"(42.35171679, -71.06118419)",6249.0
4936,I192023768,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,182,,2019-03-31 16:31:00,2019,3,Sunday,16,Part One,CLIFTON ST,42.32265965,-71.0706816,"(42.32265965, -71.07068160)",4745.0
5179,I192023498,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,C6,194,,2019-03-30 18:19:00,2019,3,Saturday,18,Part One,DORCHESTER AVE,42.33138444,-71.05697531,"(42.33138444, -71.05697531)",5150.0
5212,I192023460,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C6,225,,2019-03-30 16:29:00,2019,3,Saturday,16,Part One,H ST,42.33425145,-71.04152445,"(42.33425145, -71.04152445)",5356.0
5252,I192023415,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,C6,236,,2019-03-30 14:02:00,2019,3,Saturday,14,Part One,ROSECLAIR ST,42.32087315,-71.0584977,"(42.32087315, -71.05849770)",4650.0
5267,I192023400,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C6,193,,2019-03-30 12:06:00,2019,3,Saturday,12,Part One,JENKINS ST,42.3304694,-71.05337434,"(42.33046940, -71.05337434)",5152.0
5338,I192023321,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C6,199,,2019-03-30 04:54:00,2019,3,Saturday,4,Part One,W FOURTH ST,42.34026831,-71.05502538,"(42.34026831, -71.05502538)",5651.0
5401,I192023252,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,C6,192,,2019-03-29 21:05:00,2019,3,Friday,21,Part One,CARPENTER ST,42.32898932,-71.05630174,"(42.32898932, -71.05630174)",5051.0
5414,I192023239,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C6,236,,2019-03-29 20:32:00,2019,3,Friday,20,Part One,ROSECLAIR ST,42.32087315,-71.0584977,"(42.32087315, -71.05849770)",4650.0
5423,I192023231,560,Other Burglary,BURGLARY - OTHER - FORCE,B3,411,,2019-03-29 12:45:00,2019,3,Friday,12,Part One,STANDARD ST,42.27451263,-71.08004896,"(42.27451263, -71.08004896)",2342.0
5424,I192023231,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,411,,2019-03-29 12:45:00,2019,3,Friday,12,Part One,STANDARD ST,42.27451263,-71.08004896,"(42.27451263, -71.08004896)",2342.0
5425,I192023231,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B3,411,,2019-03-29 12:45:00,2019,3,Friday,12,Part One,STANDARD ST,42.27451263,-71.08004896,"(42.27451263, -71.08004896)",2342.0
5461,I192023192,542,Commercial Burglary,BURGLARY - COMMERICAL - NO FORCE,E18,495,,2019-03-29 12:24:00,2019,3,Friday,12,Part One,PROVIDENCE ST,42.26512321,-71.12271428,"(42.26512321, -71.12271428)",1826.0
5496,I192023155,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,A7,24,,2019-03-29 16:32:00,2019,3,Friday,16,Part One,BROOKS ST,42.37958999,-71.03556964,"(42.37958999, -71.03556964)",7658.0
5514,I192023137,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,273,,2019-03-29 14:15:00,2019,3,Friday,14,Part One,MASSACHUSETTS AVE,42.33899339,-71.08008595,"(42.33899339, -71.08008595)",5542.0
5607,I192023030,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,271,,2019-03-29 10:43:00,2019,3,Friday,10,Part One,MASSACHUSETTS AVE,42.335482,-71.07586449,"(42.33548200, -71.07586449)",5343.0
5677,I192022960,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,333,,2019-03-29 04:13:00,2019,3,Friday,4,Part One,STANLEY ST,42.31022576,-71.06905888,"(42.31022576, -71.06905888)",4146.0
5750,I192022882,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,A1,66,,2019-03-28 18:52:00,2019,3,Thursday,18,Part One,GROVE ST,42.35990168,-71.06864465,"(42.35990168, -71.06864465)",6646.0
5933,I192022684,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,402,,2019-03-21 12:00:00,2019,3,Thursday,12,Part One,BAILEY ST,42.283404499999996,-71.07010617,"(42.28340450, -71.07010617)",2745.0
5998,I192022617,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,C6,210,,2019-03-28 00:28:00,2019,3,Thursday,0,Part One,D ST,42.34454105,-71.04416497,"(42.34454105, -71.04416497)",5855.0
6019,I192022593,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,A1,100,,2019-03-27 21:37:00,2019,3,Wednesday,21,Part One,WATER ST,42.35814629,-71.05464996,"(42.35814629, -71.05464996)",6551.0
6025,I192022586,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C6,914,,2019-03-27 12:00:00,2019,3,Wednesday,12,Part One,DORCHESTER AVE,42.32829858,-71.05691804,"(42.32829858, -71.05691804)",5050.0
6026,I192022585,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C6,914,,2019-03-27 20:49:00,2019,3,Wednesday,20,Part One,DORCHESTER AVE,42.32829858,-71.05691804,"(42.32829858, -71.05691804)",5050.0
6028,I192022584,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E18,940,,2019-03-27 20:27:00,2019,3,Wednesday,20,Part One,GARFIELD AVE,42.24361883,-71.11989255,"(42.24361883, -71.11989255)",727.0
6039,I192022571,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,326,,2019-03-27 20:01:00,2019,3,Wednesday,20,Part One,LAWRENCE AVE,42.31161123,-71.076256,"(42.31161123, -71.07625600)",4143.0
6196,I192022395,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E13,642,,2019-03-27 07:15:00,2019,3,Wednesday,7,Part One,POND ST,42.31499993,-71.1153081,"(42.31499993, -71.11530810)",4329.0
6222,I192022372,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,B2,181,,2019-03-27 10:14:00,2019,3,Wednesday,10,Part One,LANGDON ST,42.32476723,-71.07134897,"(42.32476723, -71.07134897)",4845.0
6227,I192022368,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,A1,126,,2019-03-27 10:29:00,2019,3,Wednesday,10,Part One,CHURCH ST,42.34895975,-71.06813697,"(42.34895975, -71.06813697)",6046.0
6308,I192022295,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,237,,2019-03-26 22:38:00,2019,3,Tuesday,22,Part One,HOLDEN ST,42.31892106,-71.064284,"(42.31892106, -71.06428400)",4548.0
6330,I192022272,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E13,509,,2019-03-26 19:43:00,2019,3,Tuesday,19,Part One,HYDE PARK AVE,42.29697913,-71.11561599,"(42.29697913, -71.11561599)",3429.0
6384,I192022212,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,792,,2019-03-26 07:45:00,2019,3,Tuesday,7,Part One,COREY RD,42.34589104,-71.13602432,"(42.34589104, -71.13602432)",5921.0
6387,I192022209,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,792,,2019-03-26 07:30:00,2019,3,Tuesday,7,Part One,COREY RD,42.34589104,-71.13602432,"(42.34589104, -71.13602432)",5921.0
6430,I192022161,562,Other Burglary,BURGLARY - OTHER - NO FORCE,D14,808,,2019-03-25 21:50:00,2019,3,Monday,21,Part One,HOLTON ST,42.36068158,-71.13876011,"(42.36068158, -71.13876011)",6620.0
6440,I192022150,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,792,,2019-03-26 13:44:00,2019,3,Tuesday,13,Part One,KELTON ST,42.34650102,-71.13612792,"(42.34650102, -71.13612792)",5921.0
6553,I192022018,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,319,,2019-03-25 07:25:00,2019,3,Monday,7,Part One,CHENEY ST,42.30970016,-71.08582414,"(42.30970016, -71.08582414)",4140.0
6604,I192021969,542,Commercial Burglary,BURGLARY - COMMERICAL - NO FORCE,A1,116,,2019-03-25 12:30:00,2019,3,Monday,12,Part One,HUDSON ST,42.35074197,-71.06006135,"(42.35074197, -71.06006135)",6149.0
6731,I192021817,542,Commercial Burglary,BURGLARY - COMMERICAL - NO FORCE,A1,94,,2019-03-25 08:54:00,2019,3,Monday,8,Part One,STATE ST,42.35913205,-71.05504984,"(42.35913205, -71.05504984)",6551.0
6779,I192021766,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,626,,2019-03-24 07:00:00,2019,3,Sunday,7,Part One,PARK DR,42.34160357,-71.0977175,"(42.34160357, -71.09771750)",5735.0
7108,I192021406,560,Other Burglary,BURGLARY - OTHER - FORCE,D14,808,,2019-03-23 12:49:00,2019,3,Saturday,12,Part One,LINCOLN ST,42.35779134,-71.13937053,"(42.35779134, -71.13937053)",6520.0
7248,I192021246,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,168,,2019-03-16 21:06:00,2019,3,Saturday,21,Part One,E NEWTON ST,42.33765093,-71.07215567,"(42.33765093, -71.07215567)",5545.0
7308,I192021187,541,Commercial Burglary,BURGLARY - COMMERICAL - ATTEMPT,A7,17,,2019-03-22 00:08:00,2019,3,Friday,0,Part One,SHELBY ST,42.38027831,-71.02753732,"(42.38027831, -71.02753732)",7661.0
7532,I192020952,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,130,,2019-03-14 20:40:00,2019,3,Thursday,20,Part One,CLARENDON ST,42.34854636,-71.07416609,"(42.34854636, -71.07416609)",6044.0
7560,I192020925,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C6,195,,2019-03-21 13:25:00,2019,3,Thursday,13,Part One,TUCKERMAN ST,42.33150648,-71.05446007,"(42.33150648, -71.05446007)",5151.0
7573,I192020910,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,C6,188,,2019-03-21 00:20:00,2019,3,Thursday,0,Part One,BOSTON ST,42.32219952,-71.06110712,"(42.32219952, -71.06110712)",4749.0
7649,I192020826,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,156,,2019-03-21 08:03:00,2019,3,Thursday,8,Part One,W SPRINGFIELD ST,42.33930275,-71.07912378,"(42.33930275, -71.07912378)",5542.0
7671,I192020797,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C6,214,,2019-03-20 08:30:00,2019,3,Wednesday,8,Part One,SILVER ST,42.33793685,-71.05049793,"(42.33793685, -71.05049793)",5553.0
7775,I192020700,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E5,549,,2019-03-20 09:30:00,2019,3,Wednesday,9,Part One,GROVE ST,42.26022909,-71.15680185,"(42.26022909, -71.15680185)",1613.0
7789,I192020685,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,138,,2019-03-20 16:49:00,2019,3,Wednesday,16,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)",6041.0
7837,I192020637,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E5,687,,2019-03-20 13:40:00,2019,3,Wednesday,13,Part One,BRADWOOD ST,42.28520517,-71.14369114,"(42.28520517, -71.14369114)",2818.0
7857,I192020617,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,796,,2019-03-19 21:30:00,2019,3,Tuesday,21,Part One,REEDSDALE ST,42.35174866,-71.12953705,"(42.35174866, -71.12953705)",6223.0
7895,I192020569,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,E18,940,,2019-03-20 09:53:00,2019,3,Wednesday,9,Part One,WOODGLEN RD,42.24383959,-71.12160124,"(42.24383959, -71.12160124)",726.0
7971,I192020483,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C6,223,,2019-03-19 20:47:00,2019,3,Tuesday,20,Part One,E THIRD ST,42.33658292,-71.03027628,"(42.33658292, -71.03027628)",5460.0
8003,I192020450,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,782,,2019-03-19 07:30:00,2019,3,Tuesday,7,Part One,SAUNDERS ST,42.352457799999996,-71.14175436,"(42.35245780, -71.14175436)",6219.0
8189,I192020257,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,C11,350,,2019-03-19 05:24:00,2019,3,Tuesday,5,Part One,DORCHESTER AVE,42.30254239,-71.05956690000001,"(42.30254239, -71.05956690)",3749.0
8243,I192020198,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,244,,2019-03-18 20:40:00,2019,3,Monday,20,Part One,HOWES ST,42.31792539999999,-71.05784812,"(42.31792540, -71.05784812)",4550.0
8293,I192020147,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,605,,2019-03-18 17:28:00,2019,3,Monday,17,Part One,HILLSIDE ST,42.33199549,-71.10896269999999,"(42.33199549, -71.10896270)",5231.0
