,kills,assists,deaths,gold_earned,p_damage_to_champs,m_damage_to_champs,max_multi_kill,max_crit,damage_taken,no_killing_spree,creep_score,jungle_killed,cc_dealt,wards_placed,total_hea
c0,0.20589713,0.192287668,0.1947844,0.200726827,0.172832835,0.230600965,1,0,0.204381788,0,0.197230732,0.229712405,0.216522103,0.195664081,0.206907066
c1,0.109979468,0.238791952,0.197459164,0.180631011,0.114899502,0.224016251,0,0,0.18503324,0,0.170203473,0.042183079,0.16006592,0.233814917,0.16490379
c2,0.231478118,0.170383869,0.194546876,0.216214092,0.359919858,0.093592383,1,1,0.186296978,0,0.286283383,0.166649866,0.159114763,0.16643018,0.170867321
c3,0.338404858,0.156594287,0.206938349,0.232048916,0.418548226,0.107255415,0.739115869,1,0.197058544,1,0.293525601,0.177783435,0.17082486,0.168080028,0.177554188
c4,0.147888828,0.18743119,0.204403796,0.201092099,0.304409135,0.087908221,0,1,0.182577287,0,0.265131009,0.157062559,0.151891047,0.166655729,0.168109425
c5,0.342914024,0.161049354,0.204275881,0.221014042,0.220989652,0.271222064,1,0,0.211853136,1,0.224688932,0.249322893,0.226745778,0.185310754,0.209275379
c6,0.138609966,0.210417973,0.196810073,0.189063673,0.1447714,0.138291363,0,0.000710889,0.24844254,0,0.072752502,0.726761398,0.358148387,0.190100206,0.37270147
c7,0.250144511,0.184552353,0.20689304,0.207228062,0.1873566,0.255559145,0,0.011572273,0.209724047,1,0.204750111,0.245156749,0.223682728,0.188711812,0.206626163
